structure_name,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Mammillary body,1,HOMBA:15546,mammillary body,MB,mammillary body,MB,HOMBA:AA30560,2007,2005,1.0,bm25+exact+fuzzy,Mammillary body,Mammillary body,high_confidence,,1.0,,both
Subthalamic nucleus,1,HOMBA:10466,subthalamic nucleus,STH,subthalamic nucleus,STH,HOMBA:10465,856,856,1.0,bm25+exact+fuzzy,Subthalamic nucleus,Subthalamic nucleus,high_confidence,,1.0,,both
Inferior colliculus,1,HOMBA:12305,inferior colliculus,IC,inferior colliculus,IC,HOMBA:12291,976,963,1.0,bm25+exact+fuzzy+hierarchy_parent,Inferior colliculus,Inferior colliculus,high_confidence,,1.0,common_parent_of_4_candidates,both
Red nucleus,1,HOMBA:12247,red nucleus,RN,red nucleus,RN,HOMBA:AA30363,1032,1032,1.0,bm25+exact+fuzzy+hierarchy_parent,Red nucleus,Red nucleus,high_confidence,,1.0,common_parent_of_3_candidates,both
Substantia nigra,1,HOMBA:12251,substantia nigra,SN,substantia nigra,SN,HOMBA:AA30368,1043,1043,1.0,bm25+exact+fuzzy+hierarchy_parent,Substantia nigra,Substantia nigra,high_confidence,,1.0,common_parent_of_4_candidates,both
Superior colliculus,1,HOMBA:12292,superior colliculus,SC,superior colliculus,SC,HOMBA:12291,963,963,1.0,bm25+exact+fuzzy+hierarchy_parent,Superior colliculus,Superior colliculus,high_confidence,,1.0,common_parent_of_4_candidates,both
Anterior commissure,1,HOMBA:10559,anterior commissure,ac,anterior commissure,ac,HOMBA:AA30483,1571,1571,1.0,bm25+exact+fuzzy+hierarchy_parent,Anterior commissure,Anterior commissure,high_confidence,,1.0,common_parent_of_2_candidates,both
Abducens nucleus,1,HOMBA:12418,abducens nucleus,6N,abducens nucleus,6N,HOMBA:12417,1200,1200,1.0,bm25+exact+fuzzy,Abducens nucleus,Abducens nucleus,high_confidence,,1.0,,both
Facial nucleus,1,HOMBA:12420,facial nucleus,7N,facial nucleus,7N,HOMBA:12417,1202,1200,1.0,bm25+exact+fuzzy+hierarchy_parent,Facial nucleus,Facial nucleus,high_confidence,,1.0,common_parent_of_9_candidates,both
Cuneate nucleus,1,HOMBA:12589,cuneate nucleus,Cu,cuneate nucleus,Cu,HOMBA:12587,1358,1357,1.0,bm25+exact+fuzzy+hierarchy_parent,Cuneate nucleus,Cuneate nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Gracile nucleus,1,HOMBA:12592,gracile nucleus,Gr,gracile nucleus,Gr,HOMBA:12587,1361,1357,1.0,bm25+exact+fuzzy+hierarchy_parent,Gracile nucleus,Gracile nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Hypoglossal nucleus,1,HOMBA:12545,hypoglossal nucleus,12N,hypoglossal nucleus,12N,HOMBA:12539,1327,1327,1.0,bm25+exact+fuzzy+hierarchy_parent,Hypoglossal nucleus,Hypoglossal nucleus,high_confidence,,1.0,common_parent_of_4_candidates,both
Vestibular nucleus,1,HOMBA:12448,vestibular nuclei in pons,8Vepn,vestibular nuclei in pons,8Ve-p,HOMBA:12436,1234,1224,1.0,bm25+exact+fuzzy+hierarchy_parent,Vestibular nucleus,Vestibular nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Cochlear nucleus,1,HOMBA:12437,cochlear nuclei,8Co,cochlear nuclei,8Co,HOMBA:12436,1224,1224,1.0,bm25+exact+fuzzy+hierarchy_parent,Cochlear nucleus,Cochlear nucleus,high_confidence,,1.0,common_parent_of_3_candidates,both
Dorsal raphe nucleus,1,HOMBA:12223,dorsal raphe nucleus,DR,dorsal raphe nucleus,DR,HOMBA:12222,1018,1018,1.0,bm25+exact+fuzzy,Dorsal raphe nucleus,Dorsal raphe nucleus,high_confidence,dorsal,1.0,,both
Locus coeruleus,1,HOMBA:12499,nucleus coeruleus (locus coeruleus),NC,nucleus coeruleus,NC,HOMBA:146034964,1196,1182,1.0,bm25+exact+fuzzy,Locus coeruleus,Locus coeruleus,high_confidence,,1.0,,both
Habenula,1,HOMBA:10452,habenular nuclei,HN,habenular nuclei,HN,HOMBA:10451,841,841,1.0,bm25+exact+fuzzy+hierarchy_parent,Habenula,Habenula,high_confidence,,1.0,common_parent_of_3_candidates,both
Hippocampus,1,HOMBA:AA30093,hippocampus,Hip,,,HOMBA:10293,310,297,1.0,bm25+exact+fuzzy,Hippocampus,Hippocampus,high_confidence,,1.0,,both
Amygdala,1,HOMBA:10361,amygdaloid complex,AMY,amygdaloid complex,AMY,HOMBA:10331,567,451,1.0,bm25+exact+fuzzy,Amygdala,Amygdala,high_confidence,,1.0,,both
Cerebellum,1,HOMBA:10656,cerebellum,CB,cerebellum,CB,HOMBA:10655,1102,1102,1.0,bm25+exact+fuzzy,Cerebellum,Cerebellum,high_confidence,,1.0,,both
Hypothalamus,1,HOMBA:10467,hypothalamus,HTH,hypothalamus,HTH,HOMBA:10389,865,678,1.0,bm25+exact+fuzzy+hierarchy_parent,Hypothalamus,Hypothalamus,high_confidence,,1.0,common_parent_of_2_candidates,both
Thalamus,1,HOMBA:10390,thalamus,THM,thalamus,THM,HOMBA:10389,678,678,1.0,bm25+exact+fuzzy,Thalamus,Thalamus,high_confidence,,1.0,,both
Putamen,1,HOMBA:10338,putamen (lateroventral division of the CP),Pu,putamen,Pu,HOMBA:AA30192,467,456,1.0,bm25+exact+fuzzy+hierarchy_parent,Putamen,Putamen,high_confidence,,1.0,common_parent_of_4_candidates,both
Caudate nucleus,1,HOMBA:10334,caudate nucleus (mediodorsal division of the CP),Ca,caudate nucleus,Ca,HOMBA:AA30192,456,456,1.0,bm25+exact+fuzzy+hierarchy_parent,Caudate nucleus,Caudate nucleus,high_confidence,,1.0,common_parent_of_4_candidates,both
Globus pallidus,1,HOMBA:10342,globus pallidus (paleostriatum),GP,globus pallidus,GP,HOMBA:AA30190,512,453,1.0,bm25+exact+fuzzy+hierarchy_parent,Globus pallidus,Globus pallidus,high_confidence,,1.0,common_parent_of_3_candidates,both
Nucleus accumbens,1,HOMBA:10339,nucleus accumbens,NAC,nucleus accumbens,NAC,HOMBA:AA30195,485,485,1.0,bm25+exact+fuzzy+hierarchy_parent,Nucleus accumbens,Nucleus accumbens,high_confidence,,1.0,common_parent_of_2_candidates,both
Fornix,1,HOMBA:10576,fornix,fx,fornix,fx,HOMBA:AA30489,1619,1607,1.0,bm25+exact+fuzzy+hierarchy_parent,Fornix,Fornix,high_confidence,,1.0,common_parent_of_4_candidates,both
Corpus callosum,1,HOMBA:10561,corpus callosum,cc,corpus callosum,cc,HOMBA:AA30483,1575,1571,1.0,bm25+exact+fuzzy+hierarchy_parent,Corpus callosum,Corpus callosum,high_confidence,,1.0,common_parent_of_6_candidates,both
Optic chiasm,1,HOMBA:10644,optic chiasm,ox,optic chiasm,ox,HOMBA:AA30483,1598,1571,1.0,bm25+exact+fuzzy,Optic chiasm,Optic chiasm,high_confidence,,1.0,,both
Optic tract,1,HOMBA:10589,optic tract,ot,optic tract,ot,HOMBA:AA30489,1654,1607,1.0,bm25+exact+fuzzy,Optic tract,Optic tract,high_confidence,,1.0,,both
