structure_name,expected_homba_id,category,notes,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Vestibular nucleus,HOMBA:12448,level1_issue,hierarchy_parent_promoted_over_correct_match,1,HOMBA:12448,vestibular nuclei in pons,8Vepn,vestibular nuclei in pons,8Ve-p,HOMBA:12436,1234,1224,1.0,bm25+exact+fuzzy+hierarchy_parent,Vestibular nucleus,Vestibular nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Vestibular nucleus,HOMBA:12448,level1_issue,hierarchy_parent_promoted_over_correct_match,2,HOMBA:12436,afferent nuclei of cranial nerves in pons,PnAN,afferent nuclei of cranial nerves in pons,PnAN,HOMBA:AA30856,1223,1216,0.97,bm25+hierarchy_parent,Vestibular nucleus,afferent nuclei of cranial nerves in pons,high_confidence,,1.0,common_parent_of_2_candidates,both
Vestibular nucleus,HOMBA:12448,level1_issue,hierarchy_parent_promoted_over_correct_match,3,HOMBA:12579,vestibular nuclei in medulla,8Ve,vestibular nuclei in medulla,8Ve,HOMBA:AA30457,1385,1381,0.853333,bm25+fuzzy+hierarchy_parent,Vestibular nucleus,vestibular nucleus in medulla,needs_review,,1.0,common_parent_of_4_candidates,both
Habenula,HOMBA:10452,level1_issue,habenular_triangle_wrong_match,1,HOMBA:10452,habenular nuclei,HN,habenular nuclei,HN,HOMBA:10451,841,841,1.0,bm25+exact+fuzzy+hierarchy_parent,Habenula,Habenula,high_confidence,,1.0,common_parent_of_3_candidates,both
Habenula,HOMBA:10452,level1_issue,habenular_triangle_wrong_match,2,HOMBA:10456,medial habenular nucleus,MHN,medial habenular nucleus,MHN,HOMBA:10452,847,842,0.5934,bm25+fuzzy,habenular nuclei,medial habenular nuclei,low_confidence,,1.0,,both
Habenula,HOMBA:10452,level1_issue,habenular_triangle_wrong_match,3,HOMBA:10453,lateral habenular nucleus,LHN,lateral habenular nucleus,LHN,HOMBA:10452,842,842,0.59125,bm25+fuzzy,habenular nuclei,lateral habenular nuclei,low_confidence,,1.0,,both
Insula,HOMBA:12176,level1_issue,limen_insula_wrong_match,1,HOMBA:12176,insular lobe,InL,insular lobe,InL,HOMBA:12112,2001,1911,1.0,bm25+exact+fuzzy+hierarchy_parent,Insula,Insula,high_confidence,,1.0,common_parent_of_2_candidates,both
Insula,HOMBA:12176,level1_issue,limen_insula_wrong_match,2,HOMBA:12179,limen insula,LI,limen insula,LI,HOMBA:AA30560,2005,2005,0.8125,bm25+fuzzy,insular lobe,limen insular lobe,needs_review,,1.0,,both
Insula,HOMBA:12176,level1_issue,limen_insula_wrong_match,3,HOMBA:13343,precentral sulcus of insula,prin,precentral sulcus of insula,prin,HOMBA:10611,1882,1840,0.498355,bm25+fuzzy,insular lobe,precentral sulcus of insular lobe,low_confidence,,1.0,,both
Cingulate gyrus,HOMBA:10277,level1_issue,paracingulate_gyrus_wrong_match,1,HOMBA:10277,cingulate cortex,CCx,cingulate neocortex,CCx,HOMBA:AA30001,205,8,1.0,bm25+exact+fuzzy+hierarchy_parent,Cingulate gyrus,Cingulate gyrus,high_confidence,,1.0,common_parent_of_5_candidates,both
Cingulate gyrus,HOMBA:10277,level1_issue,paracingulate_gyrus_wrong_match,2,HOMBA:146034872,paracingulate gyrus,PaCG,paracingulate gyrus,PaCG,HOMBA:12113,1930,1912,0.773333,bm25+fuzzy,Cingulate gyrus,paracingulate gyrus,needs_review,,1.0,,both
Cingulate gyrus,HOMBA:10277,level1_issue,paracingulate_gyrus_wrong_match,3,HOMBA:10282,"midcingulate cortex (MCC, intermediate cingulate cortex)",MCC,midcingulate cortex,MCC,HOMBA:10277,218,206,0.736733,bm25+fuzzy,cingulate cortex,midcingulate cortex,needs_review,,1.0,,both
Inferior olivary nucleus,HOMBA:12600,level1_issue,inferior_olive_naming_mismatch,1,HOMBA:12600,inferior olive,IO,inferior olive,IO,HOMBA:12595,1403,1399,1.0,bm25+exact+fuzzy+hierarchy_parent,Inferior olivary nucleus,Inferior olivary nucleus,high_confidence,,1.0,common_parent_of_7_candidates,both
Inferior olivary nucleus,HOMBA:12600,level1_issue,inferior_olive_naming_mismatch,2,HOMBA:15562,hilus of the inferior olive,hio,hilus of the inferior olive,hio,HOMBA:AA30492,1724,1689,0.861486,bm25+fuzzy,Inferior olivary nucleus,hilus of the inferior olivary nucleus,needs_review,,1.0,,both
Inferior olivary nucleus,HOMBA:12600,level1_issue,inferior_olive_naming_mismatch,3,HOMBA:12602,"inferior olive, beta division",IObe,"inferior olive, beta nucleus",IOBe,HOMBA:12600,1405,1404,0.861486,bm25+fuzzy,Inferior olivary nucleus,inferior olivary nucleus beta nucleus,needs_review,,1.0,,both
Pituitary gland,HOMBA:10505,level1_issue,pituitary_body_naming_mismatch,1,HOMBA:10505,pituitary body/gland (hypophysis),Pit,pituitary body,Pit,HOMBA:AA30338,944,867,1.0,bm25+exact+fuzzy+hierarchy_parent,Pituitary gland,Pituitary gland,high_confidence,,1.0,common_parent_of_2_candidates,both
Pituitary gland,HOMBA:10505,level1_issue,pituitary_body_naming_mismatch,2,HOMBA:AA30782,anterior lobe of pituitary body (adenohypophysis),PitA,,,HOMBA:10505,945,945,0.584162,bm25+fuzzy,Pituitary gland,anterior lobe of pituitary gland,low_confidence,,1.0,,both
Pituitary gland,HOMBA:10505,level1_issue,pituitary_body_naming_mismatch,3,HOMBA:AA30783,posterior lobe of pituitary body (neurohypophysis),PitP,,,HOMBA:10505,946,945,0.578054,bm25+fuzzy,Pituitary gland,posterior lobe of pituitary gland,low_confidence,,1.0,,both
Pulvinar nucleus,HOMBA:10409,level1_issue,low_score_0_74,1,HOMBA:10409,pulvinar of thalamus,Pul,pulvinar of thalamus,Pul,HOMBA:AA30282,728,725,1.0,bm25+exact+fuzzy+hierarchy_parent,Pulvinar nucleus,Pulvinar nucleus,high_confidence,,1.0,common_parent_of_4_candidates,both
Pulvinar nucleus,HOMBA:10409,level1_issue,low_score_0_74,2,HOMBA:12436,afferent nuclei of cranial nerves in pons,PnAN,afferent nuclei of cranial nerves in pons,PnAN,HOMBA:AA30856,1223,1216,0.586127,hierarchy_parent,Pulvinar nucleus,afferent nuclei of cranial nerves in pons,low_confidence,,1.0,common_parent_of_2_candidates,both
Pulvinar nucleus,HOMBA:10409,level1_issue,low_score_0_74,3,HOMBA:12196,efferent nuclei of the cranial nerves in midbrain,MEN,efferent nuclei of the cranial nerves in the midbrain,MEN,HOMBA:12195,986,986,0.573254,hierarchy_parent,Pulvinar nucleus,efferent nuclei of the cranial nerves in midbrain,low_confidence,,1.0,common_parent_of_2_candidates,both
Locus coeruleus,HOMBA:12499,level1_issue,correct_but_specificity_penalty_0_86,1,HOMBA:12499,nucleus coeruleus (locus coeruleus),NC,nucleus coeruleus,NC,HOMBA:146034964,1196,1182,1.0,bm25+exact+fuzzy,Locus coeruleus,Locus coeruleus,high_confidence,,1.0,,both
Thalamus (excluding pulvinar),,parenthetical_excluding,should_match_thalamus_not_pulvinar,1,HOMBA:10390,thalamus,THM,thalamus,THM,HOMBA:10389,678,678,0.88,bm25+exact+fuzzy,Thalamus,Thalamus,needs_review,excluding;pulvinar;excluding pulvinar,0.0,,both
Thalamus (excluding pulvinar),,parenthetical_excluding,should_match_thalamus_not_pulvinar,2,HOMBA:10409,pulvinar of thalamus,Pul,pulvinar of thalamus,Pul,HOMBA:AA30282,728,725,0.723112,bm25+fuzzy,Thalamus (excluding pulvinar),pulvinar of thalamus,modifier_conflict,excluding;pulvinar;excluding pulvinar,0.333333,,both
Thalamus (excluding pulvinar),,parenthetical_excluding,should_match_thalamus_not_pulvinar,3,HOMBA:10391,dorsal thalamus,DTH,dorsal thalamus,DTH,HOMBA:AA30265,680,680,0.572,bm25+fuzzy,Thalamus,dorsal thalamus,low_confidence,excluding;pulvinar;excluding pulvinar,0.0,,both
Left hippocampus,,laterality,should_match_hippocampus,1,HOMBA:AA30093,hippocampus,Hip,,,HOMBA:10293,310,297,1.0,bm25+exact+fuzzy,hippocampus,hippocampus,high_confidence,,1.0,,both
Left hippocampus,,laterality,should_match_hippocampus,2,HOMBA:12173,body of hippocampus,HiB,body of hippocampus,HiB,HOMBA:AA30550,1971,1969,0.705044,bm25+fuzzy,hippocampus,body of hippocampus,needs_review,,1.0,,both
Left hippocampus,,laterality,should_match_hippocampus,3,HOMBA:12171,head of hippocampus,HiH,head of hippocampus,HiH,HOMBA:AA30550,1969,1969,0.705044,bm25+fuzzy,hippocampus,head of hippocampus,needs_review,,1.0,,both
Right amygdala,,laterality,should_match_amygdala,1,HOMBA:10361,amygdaloid complex,AMY,amygdaloid complex,AMY,HOMBA:10331,567,451,1.0,bm25+exact+fuzzy,amygdala,amygdala,high_confidence,,1.0,,both
